,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0,0.341,0.474,-11.935,0.0361,0.571,0.0,0.172,0.641,118.192,0aE88kbyvVtBx9lcyv95fe,191200
1,0.688,0.846,-5.867,0.0268,0.00558,0.0,0.223,0.672,102.523,3e5uxnPKYPdNjadbGXjWbP,180880
2,0.765,0.595,-4.819,0.0792,0.0639,0.0,0.0787,0.495,120.013,2Yf0NzpxdgUL5MM6g7ncai,220040
3,0.832,0.596,-6.981,0.0475,0.507,0.0,0.11,0.359,124.962,3Nr6Pi2uoxHTGbYfPDYccH,217685
4,0.547,0.693,-8.786,0.0353,9.24e-05,5.46e-05,0.113,0.583,119.567,1t2Hq2WIBcZINOEnK6mdJG,239227
5,0.494,0.946,-2.757,0.0637,0.00129,0.0,0.398,0.741,103.408,33iv3wnGMrrDugd7GBso1z,169027
6,0.591,0.871,-4.108,0.0976,0.0508,0.0,0.134,0.643,154.038,5cW36CCXmdZRLl2NzenmIR,182187
7,0.705,0.813,-4.522,0.116,0.324,0.0,0.347,0.843,158.109,6M0Ef3mfbK34lw9QxV1LFK,191280
8,0.577,0.822,-5.21,0.0813,0.342,0.0,0.246,0.601,166.021,5ESV1XYWUki3hFOPRDcpOw,208187
9,0.657,0.936,-4.921,0.201,0.171,0.0,0.27,0.785,177.982,4maRSYeEf3uvH9owh6agag,193867
10,0.564,0.666,-5.356,0.0581,0.39,0.0,0.104,0.699,173.098,1aXaLtoPTygSJx2qCq0qXP,190307
11,0.665,0.922,-3.903,0.208,0.0782,0.0,0.17,0.577,99.418,0kHBR2rR356dUaS9XCkC1I,221333
12,0.742,0.784,-5.458,0.0552,0.0308,0.0,0.354,0.65,101.002,6eFahAdQgABBj1XOM99cBG,188200
13,0.648,0.561,-7.874,0.0532,0.541,0.0,0.157,0.512,172.064,2L2yrCLlhXt8YC52vB4N8m,204320
14,0.634,0.547,-7.764,0.0574,0.701,0.0,0.236,0.942,154.426,6B7EsHthpevK46gAsSPXb3,191027
15,0.583,0.862,-4.387,0.0575,0.0468,0.0,0.256,0.422,105.998,6uCmU6ldcsVpLAKNCojVg8,204840
16,0.634,0.409,-12.662,0.07,0.745,0.0,0.095,0.889,157.104,6sXPvcOYT9bSHFKufglBvs,124287
17,0.656,0.953,-4.268,0.288,0.223,0.0,0.575,0.69,93.981,7wzIfIQDA9vRLkEtL3goQV,160147
18,0.774,0.48,-8.953,0.241,0.795,0.000227,0.118,0.802,155.782,04TxEuxqi3VxWurMZWm8Dc,189267
19,0.838,0.693,-4.899,0.118,0.296,0.0,0.14,0.46,111.952,5tEaZFMFvJF0vrNZLVZRDm,208827
20,0.668,0.78,-6.481,0.0901,0.0487,0.0,0.107,0.739,170.032,4L0nc0tHfDjr3HlAm1EFeu,215147
21,0.751,0.491,-7.222,0.0675,0.452,0.0,0.105,0.262,141.163,0ImAjfZNeeY9NQTt15qmU4,240760
22,0.685,0.684,-7.991,0.0504,0.236,3.43e-05,0.97,0.779,168.017,5css8d6tc4sYLpjBNRVCO0,245501
23,0.444,0.511,-9.975,0.0799,0.743,6.36e-05,0.72,0.191,129.454,4NcdCgBclYa4zg9KW7AtcC,119276
24,0.691,0.786,-5.947,0.0503,0.111,6.7e-05,0.239,0.632,164.126,3mdDdrgDEKVxd5GawWjKqy,180575
25,0.706,0.775,-5.218,0.0468,0.0138,1.04e-06,0.151,0.882,81.04,64yn6T5miWO6E408RmBsd7,206334
26,0.591,0.935,-2.664,0.0478,0.000284,0.000278,0.142,0.736,140.043,2NniAhAtkRACaMeYt48xlD,247947
27,0.707,0.704,-5.882,0.0678,0.0683,5.17e-06,0.282,0.8,170.072,7D7JJ8dCwX91dznZGnCX5s,196998
28,0.701,0.758,-6.25,0.0443,0.118,5.37e-06,0.206,0.788,79.969,0ktk90OsP6Xu42zuFTnhPO,146542
29,0.785,0.555,-6.804,0.0406,0.44,1.35e-06,0.165,0.409,90.002,2CvADof68upuJOJ9DeECRg,214905
30,0.643,0.779,-5.996,0.0271,0.0492,7.3e-05,0.0854,0.782,98.027,3kcnuhmR6x4xvEe8eu0p7q,210669
31,0.722,0.397,-7.314,0.0888,0.364,1.39e-05,0.34,0.826,172.097,6AV0d7jpZSOJCjglWmYsId,190957
32,0.424,0.264,-16.218,0.0528,0.99,0.0043,0.409,0.156,87.255,7blzWBd1NN4DPWXkM9s2vF,67867
