songs,artists
Jimmy Cooks,Drake Featuring 21 Savage
As It Was,Harry Styles
First Class,Jack Harlow
Wait For U,Future Featuring Drake & Tems
About Damn Time,Lizzo
Sticky,Drake
Falling Back,Drake
Glimpse Of Us,Joji
Running Up That Hill (A Deal With God),Kate Bush
Heat Waves,Glass Animals
Me Porto Bonito,Bad Bunny & Chencho Corleone
Big Energy,Latto
Texts Go Green,Drake
Massive,Drake
Break My Soul,Beyonce
Titi Me Pregunto,Bad Bunny
Wasted On You,Morgan Wallen
The Kind Of Love We Make,Luke Combs
Stay,The Kid LAROI & Justin Bieber
Calling My Name,Drake
A Keeper,Drake
I Like You (A Happier Song),Post Malone Featuring Doja Cat
Currents,Drake
Late Night Talking,Harry Styles
Boyfriend,Dove Cameron
Ghost,Justin Bieber
Numb Little Bug,Em Beihold
Flight's Booked,Drake
Bad Habits,Ed Sheeran
Enemy,Imagine Dragons X JID
Get Into It (Yuh),Doja Cat
Moscow Mule,Bad Bunny
Sunroof,Nicky Youre & dazy
Woman,Doja Cat
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Bam Bam,Camila Cabello Featuring Ed Sheeran
Thats What I Want,Lil Nas X
Super Gremlin,Kodak Black
Shivers,Ed Sheeran
Provenza,Karol G
You Proof,Morgan Wallen
Overdrive,Drake
Take My Name,Parmalee
Sweetest Pie,Megan Thee Stallion & Dua Lipa
Efecto,Bad Bunny
Like I Love Country Music,Kane Brown
Liability,Drake
AA,Walker Hayes
Thousand Miles,The Kid LAROI
Something In The Orange,Zach Bryan
Party,Bad Bunny & Rauw Alejandro
U-Digg,"Lil Baby, 42 Dugg & Veeze"
Despues de La Playa,Bad Bunny
Trouble With A Heartbreak,Jason Aldean
Cooped Up,Post Malone Featuring Roddy Ricch
2step,Ed Sheeran Featuring Lil Baby
Ojitos Lindos,Bad Bunny & Bomba Estereo
Puffin On Zootiez,Future
Damn Strait,Scotty McCreery
Fall In Love,Bailey Zimmerman
Hold My Hand,Lady Gaga
Down Hill,Drake
In A Minute,Lil Baby
MAMIII,Becky G X Karol G
Sleazy Flow,SleazyWorld Go Featuring Lil Baby
Tie That Binds,Drake
Vegas,Doja Cat
Yet To Come,BTS
When You're Gone,Shawn Mendes
What Happened To Virgil,Lil Durk Featuring Gunna
Silent Hill,Kendrick Lamar & Kodak Black
Rock And A Hard Place,Bailey Zimmerman
Cash In Cash Out,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator"
To The Moon!,JNR CHOI & Sam Tompkins
Tarot,Bad Bunny & Jhay Cortez
She Had Me At Heads Carolina,Cole Swindell
She Likes It,Russell Dickerson & Jake Scott
I Ain't Worried,OneRepublic
Flower Shops,ERNEST Featuring Morgan Wallen
Ghost Story,Carrie Underwood
Te Felicito,Shakira & Rauw Alejandro
Hotel Lobby (Unc And Phew),Quavo & Takeoff
Music For A Sushi Restaurant,Harry Styles
Un Ratito,Bad Bunny
Last Night Lonely,Jon Pardi
Thought You Should Know,Morgan Wallen
So Good,Halsey
5 Foot 9,Tyler Hubbard
Wild As Her,Corey Kent
Right On,Lil Baby
Circles Around This Town,Maren Morris
Tomorrow Me,Luke Combs
7500 OBO,Tim McGraw
Die Young,Sleepy Hallow Featuring 347aidan
F.N.F. (Let's Go),Hitkidd & Glorilla
N95,Kendrick Lamar
Love Me More,Sam Smith
New Truck,Dylan Scott
She's All I Wanna Be,Tate McRae
Desesperados,Rauw Alejandro & Chencho Corleone
